network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider,is_anycast
2001:470:5:58::/64,3608932,6252001,,0,0,
2001:470:5:59::/64,3469034,6252001,,0,0,
2001:470:5:5a::/64,3686110,6252001,,0,0,
2001:470:5:5b::/64,3469034,6252001,,0,0,
2001:470:5:5c::/64,6252001,6252001,,0,0,
2001:470:5:5d::/64,3469034,6252001,,0,0,
2001:470:5:5e::/64,3469034,6252001,,0,0,
2001:470:5:5f::/64,630336,6252001,,0,0,
2001:470:5:60::/64,3508796,6252001,,0,0,
2001:470:5:61::/64,932692,6252001,,0,0,
2001:470:5:62::/64,6252001,6252001,,0,0,
2001:470:5:63::/64,3865483,6252001,,0,0,
2001:470:5:64::/64,3625428,6252001,,0,0,
2001:470:5:65::/64,6252001,6252001,,0,0,
2001:470:5:66::/64,3469034,6252001,,0,0,
2001:470:5:67::/64,3439705,6252001,,0,0,
2001:470:5:68::/64,3469034,6252001,,0,0,
2001:470:5:69::/64,6252001,6252001,,0,0,
2001:470:5:6a::/64,6252001,6252001,,0,0,
2001:470:5:6b::/64,4566966,6252001,,0,0,
2001:470:5:6c::/64,3686110,6252001,,0,0,
2001:470:5:6d::/64,3625428,6252001,,0,0,
2001:470:5:6e::/64,3865483,6252001,,0,0,
2001:470:5:6f::/64,3625428,6252001,,0,0,
2001:470:5:70::/64,1814991,6252001,,0,0,
2001:470:5:71::/64,3469034,6252001,,0,0,
2001:470:5:72::/64,3658394,6252001,,0,0,
2001:470:5:73::/64,3469034,6252001,,0,0,
2001:470:5:74::/64,6252001,6252001,,0,0,
2001:470:5:75::/64,3625428,6252001,,0,0,
2001:470:5:76::/64,3469034,6252001,,0,0,
2001:470:5:77::/64,3865483,6252001,,0,0,
2001:470:5:78::/64,3508796,6252001,,0,0,
2001:470:5:79::/64,6252001,6252001,,0,0,
2001:470:5:7a::/64,1814991,6252001,,0,0,
2001:470:5:7b::/64,3895114,6252001,,0,0,
2001:470:5:7c::/64,3996063,6252001,,0,0,
2001:470:5:7d::/64,6252001,6252001,,0,0,
2001:470:5:7e::/64,3996063,6252001,,0,0,
2001:470:5:7f::/64,6252001,6252001,,0,0,
2001:470:5:80::/64,3577279,6252001,,0,0,
2001:470:5:81::/64,3469034,6252001,,0,0,
2001:470:5:82::/63,6252001,6252001,,0,0,
2001:470:5:84::/63,3469034,6252001,,0,0,
2001:470:5:86::/64,290557,6252001,,0,0,
2001:470:5:87::/64,6252001,6252001,,0,0,
2001:470:5:88::/64,3625428,6252001,,0,0,
2001:470:5:89::/64,3508796,6252001,,0,0,
2001:470:5:8a::/64,3625428,6252001,,0,0,
2001:470:5:8b::/64,3865483,6252001,,0,0,
2001:470:5:8c::/64,4566966,6252001,,0,0,
2001:470:5:8d::/64,3469034,6252001,,0,0,
2001:470:5:8e::/64,3469034,6252001,,0,0,
2001:470:5:8f::/64,6252001,6252001,,0,0,
2001:470:5:90::/64,6252001,6252001,,0,0,
2001:470:5:91::/64,3469034,6252001,,0,0,
2001:470:5:92::/64,6252001,6252001,,0,0,
2001:470:5:93::/64,3625428,6252001,,0,0,
2001:470:5:94::/64,3625428,6252001,,0,0,
2001:470:5:95::/64,3686110,6252001,,0,0,
